Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,anger,disgust,fear,joy,sadness,serverStatus
0.528,0.523,0.537,0.653,0.511,0.217821,0.793375,0.501131,0.031477,0.284936,No
0.252,0.063,0.037,0.266,0.989,0.542857,0.084615,0.178302,0.224453,0.264283,No
0.817,0.571,0.157,0.012,0.401,0.162798,0.166694,0.21387,0.410916,0.220049,No
0.197111941,0.129873263,0.18048451,0.419478455,0.99,0.468938,0.259794,0.350803,0.037265,0.636412,No
0.155,0.079,0.081,0.226,0.975,0.539162,0.219993,0.431932,0.011625,0.642158,No
0.158,0.281,0.332,0.51,0.869,0.419015,0.162022,0.213941,0.066892,0.686369,No
0.817,0.571,0.157,0.012,0.401,0.041602,0.026298,0.141606,0.651962,0.1065,No
0.57102946,0.176590371,0.081769738,0.359928149,0.946623449,0.572222,0.156909,0.121436,0.036774,0.665709,No
0.842894133,0.510934272,0.028591869,0.061867269,0.863651422,0.630997,0.27334,0.102993,0.120977,0.247094,No
0.649,0.735,0.332,0.308,0.345,0.256465,0.501026,0.229375,0.116583,0.178444,No
0.99,0.149,0.04,0.079,0.967,0.347906,0.436338,0.096557,0.150341,0.377942,No
0.222737882,0.516426918,0.076798216,0.371376041,0.932767491,0.935205,0.093231,0.480453,0.024612,0.396882,No
0.027,0.105,0.613,0.71,0.987,0.343572,0.079755,0.465045,0.1223,0.373906,No
0.623,0.448,0,0.012,0.81,0.598183,0.160709,0.085206,0.067308,0.490147,No
0.127777542,0.197938872,0.742103995,0.933795568,0.717249134,0.734868,0.635966,0.279829,0.016707,0.28863,No
0.523,0.31,0.237,0.561,0.564,0.471535,0.337315,0.182789,0.076906,0.292775,No
0.22,0.086,0.519,0.445,0.955,0.385644,0.175945,0.611893,0.066624,0.378122,No
0.8707669,0.673957059,0.046140648,0.1826564,0.766577331,0.564624,0.422568,0.335366,0.013917,0.62554,No
0.02,0.19,0.989,0.948,0.081,0.117261,0.131583,0.047687,0.865401,0.062204,No
0.333257806,0.182419317,0.098913405,0.221933223,0.982577631,0.72857,0.233501,0.526891,0.020981,0.195548,No
0.675732048,0.017211965,0.291987961,0.352497369,0.93959943,0.613457,0.210962,0.268527,0.066235,0.378937,No
0.817,0.571,0.157,0.012,0.401,0.062344,0.021321,0.108747,0.660494,0.110253,No
0.263,0.123,0.413,0.301,0.936,0.315188,0.176883,0.250164,0.117284,0.488402,No
0.18,0.468,0.671,0.835,0.649,0.136609,0.048462,0.222051,0.750288,0.356966,No
0.442,0.272,0.042,0.053,0.871,0.432966,0.15655,0.180114,0.109203,0.387351,No
0.147,0.722,0.943,0.959,0.53,0.443398,0.132846,0.43871,0.149918,0.198742,No
0.221,0.174,0.588,0.582,0.882,0.442527,0.583367,0.113427,0.098273,0.414076,No
0.222,0.266,0.512,0.595,0.777,0.378051,0.424376,0.527814,0.02545,0.390559,No
0.252,0.067,0.157,0.114,0.968,0.278728,0.315512,0.473162,0.04299,0.275394,No
0.615,0.309,0.488,0.253,0.322,0.473077,0.30424,0.169655,0.216277,0.120433,No
0.278,0.376,0.277,0.345,0.842,0.444833,0.268998,0.303502,0.031793,0.378628,No
0.241,0.524,0,0.581,0.81,0.610495,0.03116,0.174073,0.127583,0.395513,No
0.367097903,0.009972094,0.119696778,0.669719627,0.977888148,0.297532,0.262357,0.241149,0.321529,0.080695,No
0.027,0.571,0.673,0.986,0.994,0.128645,0.263392,0.432374,0.224244,0.30407,No
0.095264923,0.169376104,0.547562246,0.936593476,0.957461378,0.543137,0.089174,0.168839,0.045618,0.548453,No
0.56267121,0.600652416,0.035637129,0.1375399,0.877456078,0.899029,0.144595,0.128772,0.030962,0.419616,No
0.723867174,0.828000388,0.009089124,0.06779922,0.83754834,0.890177,0.546187,0.226504,0.014754,0.113966,No
0.756557566,0.404705011,0.016269076,0.039442857,0.907293072,0.694053,0.053691,0.168755,0.071567,0.244818,No
0.355,0.111,0.342,0.291,0.911,0.316827,0.445127,0.161967,0.098112,0.451156,No
0.558327282,0.117119981,0.011753619,0.020323809,0.979266212,0.908245,0.141249,0.279551,0.022339,0.350313,No
0.228,0.563,0.032,0.369,0.851,0.293253,0.290939,0.236992,0.163071,0.339072,No
0.178,0.434,0.652,0.779,0.841,0.30262,0.254647,0.205757,0.059698,0.608647,No
0.019,0.332,0.124,0.742,0.991,0.670489,0.143084,0.204781,0.070912,0.429221,No
0.672045676,0.063968754,0.07314297,0.077844731,0.949009752,0.722406,0.176411,0.158669,0.093029,0.160929,No
0.198,0.47,0.11,0.473,0.837,0.37516,0.22654,0.311632,0.055921,0.36194,No
0.434,0.335,0,0.012,0.942,0.437122,0.015058,0.094148,0.155431,0.613695,No
0.284,0.25,0.224,0.103,0.905,0.318685,0.117253,0.276045,0.182637,0.366334,No
0.442901398,0.666126403,0.101353246,0.378826021,0.749238598,0.904417,0.021918,0.067318,0.092752,0.274014,No
0.946,0.22,0.157,0.012,0.739,0.488138,0.152764,0.161601,0.098069,0.267302,No
0.183,0.097,0.118,0.492,0.899,0.431304,0.048166,0.195605,0.22937,0.308956,No
0.117,0.097,0.348,0.612,0.955,0.857904,0.079532,0.211041,0.049819,0.063774,Yes
0.539,0.673,0.47,0.438,0.368,0.095798,0.373211,0.356299,0.438064,0.239397,Yes
0.817,0.571,0.013,0.012,0.401,0.251824,0.281809,0.188787,0.360827,0.140478,Yes
0.123,0.156,0.228,0.16,0.955,0.462973,0.217258,0.262916,0.169787,0.281808,Yes
0.162,0.335,0.496,0.473,0.918,0.14152,0.020462,0.157518,0.692939,0.172837,Yes
0.817,0.571,0.049,0.004,0.401,0.226914,0.328846,0.153035,0.150959,0.192445,Yes
0.158,0.08,0.363,0.601,0.964,0.860111,0.049169,0.226725,0.029866,0.43567,Yes
0.014,0.046,0.306,0.804,0.994,0.275256,0.026634,0.378455,0.140853,0.533055,Yes
0.218,0.432,0.323,0.547,0.919,0.719329,0.129541,0.176271,0.213779,0.181152,Yes
0.266,0.237,0.193,0.313,0.947,0.391248,0.166932,0.164153,0.137448,0.393853,Yes
0.085,0.226,0.458,0.485,0.943,0.953466,0.022048,0.094594,0.026001,0.501258,Yes
0.039,0.114,0.836,0.893,0.905,0.825544,0.062286,0.22972,0.041242,0.387308,Yes
0.276,0.708,0.885,0.705,0.154,0.22979,0.230905,0.217262,0.219602,0.271437,Yes
0.132,0.101,0.542,0.777,0.96,0.401295,0.049783,0.246351,0.209811,0.240186,Yes
0.385,0.499,0.24,0.478,0.899,0.935596,0.20869,0.184835,0.018319,0.227424,Yes
0.377,0.166,0.157,0.105,0.8,0.286373,0.213834,0.542278,0.058149,0.334072,Yes
0.001,0.571,0.997,0.988,0,0.043716,0.0013,0.013063,0.99608,0.006599,Yes
0.058,0.038,0.147,0.375,0.989,0.449222,0.057946,0.181654,0.158412,0.547968,Yes
0.178,0.138,0.8,0.564,0.828,0.207497,0.096643,0.093218,0.769316,0.162241,Yes
0.105,0.463,0.792,0.704,0.041,0.134487,0.257145,0.195858,0.181699,0.509379,Yes
0.589,0.479,0.147,0.339,0.828,0.360527,0.240875,0.321188,0.117492,0.212762,Yes
0.338,0.235,0.104,0.304,0.869,0.164107,0.015058,0.230148,0.629562,0.356028,Yes
0.204,0.203,0.48,0.329,0.892,0.625891,0.193692,0.242459,0.153679,0.166561,Yes
0.68,0.968,0.805,0.465,0.029,0.246246,0.080353,0.123761,0.807537,0.135646,Yes
0.093,0.175,0.642,0.563,0.875,0.279503,0.045658,0.207278,0.088724,0.505607,Yes
0.277,0.296,0.276,0.332,0.892,0.499199,0.143897,0.269725,0.188664,0.285462,Yes
0.055,0.095,0.783,0.699,0.935,0.450997,0.15394,0.26307,0.350778,0.116282,Yes
0.022,0.288,0.799,0.848,0.901,0.368199,0.193275,0.136775,0.453352,0.119256,Yes
0.07,0.015,0.254,0.7,0.986,0.20286,0.068506,0.374845,0.339594,0.173832,Yes
0.611,0.477,0.087,0.22,0.755,0.395477,0.364197,0.250582,0.094987,0.396703,Yes
0.846,0.342,0.332,0.089,0.649,0.319776,0.028947,0.1173,0.605826,0.202841,Yes
0.014,0.851,0.97,0.989,0.858,0.333833,0.018565,0.028728,0.925489,0.07302,Yes
0.927,0.53,0.154,0.534,0.701,0.245306,0.501486,0.546396,0.06254,0.196392,Yes
0.234,0.609,0.425,0.356,0.813,0.770903,0.11286,0.212842,0.054632,0.223695,Yes
0.273,0.007,0.2,0.135,0.981,0.321495,0.155033,0.32451,0.122935,0.546584,Yes
0.241,0.135,0.155,0.261,0.962,0.402785,0.090363,0.066934,0.426297,0.268315,Yes
0.559,0.695,0.121,0.427,0.621,0.551205,0.404934,0.465774,0.027616,0.325124,Yes
0.112,0.201,0.182,0.309,0.983,0.69909,0.034347,0.156983,0.137156,0.393715,Yes
0.134,0.897,0.044,0.56,0.891,0.529151,0.232612,0.30038,0.061891,0.316074,No
0.373357861,0.343909701,0.066161579,0.111579339,0.950722364,0.695733,0.05771,0.25274,0.057848,0.655116,No
0.785078658,0.301502236,0.068295197,0.061380557,0.728863666,0.545688,0.303894,0.623514,0.04661,0.324215,No
0.127,0.513,0.003,0.509,0.986,0.450611,0.124185,0.126019,0.026273,0.677993,No
0.17,0.538,0.318,0.454,0.823,0.494244,0.212623,0.164662,0.241512,0.239835,No
0.921042982,0.152285546,0.026059638,0.019040044,0.84763175,0.888889,0.554024,0.172911,0.009809,0.640816,No
0.223,0.515,0.312,0.829,0.746,0.392683,0.19987,0.181795,0.157031,0.364114,No
0.125,0.517,0.079,0.472,0.933,0.585552,0.021178,0.153568,0.060599,0.770764,No
0.221,0.038,0.323,0.422,0.956,0.388429,0.084631,0.180328,0.106428,0.462727,No
0.412,0.11,0.033,0.125,0.957,0.321546,0.224493,0.222885,0.175194,0.462011,No
0.657,0.158,0.215,0.119,0.867,0.266756,0.304518,0.265666,0.119391,0.331301,No
0.344,0.276,0.457,0.532,0.862,0.400591,0.472557,0.340413,0.032125,0.367226,No
0.921,0.284,0.265,0.052,0.711,0.2982,0.121521,0.385971,0.198369,0.301988,No
0.351,0.406,0.256,0.313,0.766,0.717586,0.051468,0.130452,0.129758,0.31283,No
0.173,0.209,0.32,0.391,0.919,0.575772,0.128087,0.178415,0.035404,0.607674,No
0.589120093,0.099414152,0.048747106,0.263156784,0.978364052,0.18927,0.219494,0.204601,0.319193,0.22218,No
0.347,0.165,0.157,0.15,0.935,0.393354,0.299748,0.406382,0.062843,0.31542,No
0.044,0.065,0.309,0.596,0.939,0.672217,0.0867,0.108308,0.113833,0.233289,No
0.042,0.235,0.241,0.689,0.99,0.462911,0.09361,0.12031,0.133513,0.623751,No
0.54,0.429,0.04,0.165,0.737,0.523408,0.144945,0.16059,0.157968,0.345371,No
0.835788377,0.682020009,0.009455154,0.015798884,0.860146049,0.578661,0.151802,0.170396,0.30862,0.279534,No
0.229,0.998,0,0.465,0.401,0.22588,0.022698,0.048633,0.925045,0.276253,No
0.445,0.432,0.295,0.254,0.671,0.523351,0.389945,0.498414,0.039734,0.33983,No
0.478,0.255,0.121,0.186,0.969,0.59737,0.121455,0.160945,0.248841,0.184957,No
0.267,0.54,0.166,0.556,0.818,0.649752,0.060636,0.122034,0.118007,0.338057,No
