id,facebook_id,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,anger,disgust,fear,joy,sadness,analytical,confident,tentative,serverStatus
1,1.14321E+11,0.528,0.523,0.537,0.653,0.511,0.217821,0.793375,0.501131,0.031477,0.284936,0.155,0,0.004,No
2,6.2931E+14,0.252,0.063,0.037,0.266,0.989,0.542857,0.084615,0.178302,0.224453,0.264283,0.793,0,0.843,No
3,6.41168E+14,0.817,0.571,0.157,0.012,0.401,0.162798,0.166694,0.21387,0.410916,0.220049,0,0,0,No
4,6.45819E+14,0.197111941,0.129873263,0.18048451,0.419478455,0.99,0.468938,0.259794,0.350803,0.037265,0.636412,0.717,0,0.719,No
5,7.02279E+14,0.155,0.079,0.081,0.226,0.975,0.539162,0.219993,0.431932,0.011625,0.642158,0.527,0,0.765,No
6,7.14715E+14,0.158,0.281,0.332,0.51,0.869,0.419015,0.162022,0.213941,0.066892,0.686369,0,0,0.566,No
7,7.17251E+14,0.817,0.571,0.157,0.012,0.401,0.041602,0.026298,0.141606,0.651962,0.1065,0,0,0,No
8,7.2161E+14,0.57102946,0.176590371,0.081769738,0.359928149,0.946623449,0.572222,0.156909,0.121436,0.036774,0.665709,0,0,0.569,No
9,7.49439E+14,0.842894133,0.510934272,0.028591869,0.061867269,0.863651422,0.630997,0.27334,0.102993,0.120977,0.247094,0.932,0,0,No
10,7.62238E+14,0.649,0.735,0.332,0.308,0.345,0.256465,0.501026,0.229375,0.116583,0.178444,0.779,0,0.346,No
11,7.6826E+14,0.99,0.149,0.04,0.079,0.967,0.347906,0.436338,0.096557,0.150341,0.377942,0,0,0.992,No
12,7.72758E+14,0.222737882,0.516426918,0.076798216,0.371376041,0.932767491,0.935205,0.093231,0.480453,0.024612,0.396882,0.961,0,0.583,No
13,7.74481E+14,0.027,0.105,0.613,0.71,0.987,0.343572,0.079755,0.465045,0.1223,0.373906,0,0,0,No
