Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,anger,disgust,fear,joy,sadness,serverStatus
0.528,0.523,0.537,0.653,0.511,0.217821,0.793375,0.501131,0.031477,0.284936,Failure
0.252,0.063,0.037,0.266,0.989,0.542857,0.084615,0.178302,0.224453,0.264283,Failure
0.817,0.571,0.157,0.012,0.401,0.162798,0.166694,0.21387,0.410916,0.220049,Failure
0.197111941,0.129873263,0.18048451,0.419478455,0.99,0.468938,0.259794,0.350803,0.037265,0.636412,Failure
0.155,0.079,0.081,0.226,0.975,0.539162,0.219993,0.431932,0.011625,0.642158,Failure
0.158,0.281,0.332,0.51,0.869,0.419015,0.162022,0.213941,0.066892,0.686369,Failure
0.817,0.571,0.157,0.012,0.401,0.041602,0.026298,0.141606,0.651962,0.1065,Failure
0.058,0.038,0.147,0.375,0.989,0.449222,0.057946,0.181654,0.158412,0.547968,Idle
0.178,0.138,0.8,0.564,0.828,0.207497,0.096643,0.093218,0.769316,0.162241,Idle
0.105,0.463,0.792,0.704,0.041,0.134487,0.257145,0.195858,0.181699,0.509379,Idle
0.589,0.479,0.147,0.339,0.828,0.360527,0.240875,0.321188,0.117492,0.212762,Idle
0.338,0.235,0.104,0.304,0.869,0.164107,0.015058,0.230148,0.629562,0.356028,Idle
0.204,0.203,0.48,0.329,0.892,0.625891,0.193692,0.242459,0.153679,0.166561,Idle
0.68,0.968,0.805,0.465,0.029,0.246246,0.080353,0.123761,0.807537,0.135646,Idle
0.093,0.175,0.642,0.563,0.875,0.279503,0.045658,0.207278,0.088724,0.505607,Idle
0.277,0.296,0.276,0.332,0.892,0.499199,0.143897,0.269725,0.188664,0.285462,Idle
0.055,0.095,0.783,0.699,0.935,0.450997,0.15394,0.26307,0.350778,0.116282,Idle
