Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,anger,disgust,fear,joy,sadness,serverStatus
0.589,0.479,0.147,0.339,0.828,0.360527,0.240875,0.321188,0.117492,0.212762,Yes
0.338,0.235,0.104,0.304,0.869,0.164107,0.015058,0.230148,0.629562,0.356028,Yes
0.204,0.203,0.48,0.329,0.892,0.625891,0.193692,0.242459,0.153679,0.166561,Yes
0.68,0.968,0.805,0.465,0.029,0.246246,0.080353,0.123761,0.807537,0.135646,Yes
0.093,0.175,0.642,0.563,0.875,0.279503,0.045658,0.207278,0.088724,0.505607,Yes
0.277,0.296,0.276,0.332,0.892,0.499199,0.143897,0.269725,0.188664,0.285462,Yes
0.055,0.095,0.783,0.699,0.935,0.450997,0.15394,0.26307,0.350778,0.116282,Yes
0.022,0.288,0.799,0.848,0.901,0.368199,0.193275,0.136775,0.453352,0.119256,Yes
0.07,0.015,0.254,0.7,0.986,0.20286,0.068506,0.374845,0.339594,0.173832,Yes
0.611,0.477,0.087,0.22,0.755,0.395477,0.364197,0.250582,0.094987,0.396703,Yes
0.846,0.342,0.332,0.089,0.649,0.319776,0.028947,0.1173,0.605826,0.202841,Yes
0.014,0.851,0.97,0.989,0.858,0.333833,0.018565,0.028728,0.925489,0.07302,Yes
0.927,0.53,0.154,0.534,0.701,0.245306,0.501486,0.546396,0.06254,0.196392,Yes
0.234,0.609,0.425,0.356,0.813,0.770903,0.11286,0.212842,0.054632,0.223695,Yes
0.273,0.007,0.2,0.135,0.981,0.321495,0.155033,0.32451,0.122935,0.546584,Yes
0.241,0.135,0.155,0.261,0.962,0.402785,0.090363,0.066934,0.426297,0.268315,Yes
0.22,0.086,0.519,0.445,0.955,0.385644,0.175945,0.611893,0.066624,0.378122,No
0.8707669,0.673957059,0.046140648,0.1826564,0.766577331,0.564624,0.422568,0.335366,0.013917,0.62554,No
0.02,0.19,0.989,0.948,0.081,0.117261,0.131583,0.047687,0.865401,0.062204,No
0.333257806,0.182419317,0.098913405,0.221933223,0.982577631,0.72857,0.233501,0.526891,0.020981,0.195548,No
0.675732048,0.017211965,0.291987961,0.352497369,0.93959943,0.613457,0.210962,0.268527,0.066235,0.378937,No
0.817,0.571,0.157,0.012,0.401,0.062344,0.021321,0.108747,0.660494,0.110253,No
0.263,0.123,0.413,0.301,0.936,0.315188,0.176883,0.250164,0.117284,0.488402,No
0.18,0.468,0.671,0.835,0.649,0.136609,0.048462,0.222051,0.750288,0.356966,No
0.442,0.272,0.042,0.053,0.871,0.432966,0.15655,0.180114,0.109203,0.387351,No
0.147,0.722,0.943,0.959,0.53,0.443398,0.132846,0.43871,0.149918,0.198742,No
0.221,0.174,0.588,0.582,0.882,0.442527,0.583367,0.113427,0.098273,0.414076,No
0.222,0.266,0.512,0.595,0.777,0.378051,0.424376,0.527814,0.02545,0.390559,No
0.252,0.067,0.157,0.114,0.968,0.278728,0.315512,0.473162,0.04299,0.275394,No
0.615,0.309,0.488,0.253,0.322,0.473077,0.30424,0.169655,0.216277,0.120433,No
0.278,0.376,0.277,0.345,0.842,0.444833,0.268998,0.303502,0.031793,0.378628,No
0.241,0.524,0,0.581,0.81,0.610495,0.03116,0.174073,0.127583,0.395513,No
0.367097903,0.009972094,0.119696778,0.669719627,0.977888148,0.297532,0.262357,0.241149,0.321529,0.080695,No
0.027,0.571,0.673,0.986,0.994,0.128645,0.263392,0.432374,0.224244,0.30407,No
0.095264923,0.169376104,0.547562246,0.936593476,0.957461378,0.543137,0.089174,0.168839,0.045618,0.548453,No
